,col
0,"{row: 0, column: ""_timestamp""}: ""07/hghg/2020 00:00"" time_stamp format is not valid"
1,"{row: 4, column: ""_timestamp""}: ""07/ghjg/2020 00:40"" time_stamp format is not valid"
